业务域编号,业务域,流程组编号,流程组名称,流程编号,流程名称,子流程编号,子流程名称,信息流图名称,业务表名称,是否输出业务项,线上线下输出物名称,对比业务表名称,SAP模块代码,SAP口令代码,目前表号,新表号,权威数据源系统1,权威数据源系统2,是否已挂附件,系统名称,操作,数据分布表编号,数据分布表名称,表责任部门,问题或建议,核查结果,来源文件,来源部门
,集成研发,,,12.1.6,初步定义阶段设计,,,12.1.6初步定义阶段设计,装配协调方案（初稿）,否,装配协调方案（初稿）,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,装配协调方案（初稿）,科技创新部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.6,初步定义阶段设计,,,12.1.6初步定义阶段设计,互替换计划（初稿）,否,互替换计划（初稿）,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,互替换计划（初稿）,科技创新部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.6,初步定义阶段设计,,,12.1.6初步定义阶段设计,工艺鉴定准备计划,否,工艺鉴定准备计划,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,工艺鉴定准备计划,科技创新部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,先行器材采购单（AMO）,是,先行器材采购单（AMO）,一致,,,FM1201-29,,线下EXCEL,,,,C,FM1201-29,先行器材采购单（AMO）,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,标准件性能数据表,是,标准件性能数据表,一致,,,FM1201-30,,线下EXCEL,,,,C,FM1201-30,标准件性能数据表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,构型基线清单,是,构型基线清单,一致,,,FM1201-31,,线下EXCEL,,,,C,FM1201-31,构型基线清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,初步定义阶段设计,,,12.1.6初步定义阶段设计,工程数据发放通知（EDRN）,是,工程数据发放通知（EDRN）,一致,,,FM1201-32,,线下EXCEL,,,,C,FM1201-32,工程数据发放通知（EDRN）,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,符合性验证方法列表,是,符合性验证方法列表,一致,,,FM1201-47,,线下EXCEL,,,,C,FM1201-47,符合性验证方法列表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,安装调整技术条件,是,安装调整技术条件,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,安装调整技术条件,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,DDP容差分析报告,是,DDP容差分析报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,DDP容差分析报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,条款级符合性验证计划,是,条款级符合性验证计划,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,条款级符合性验证计划,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,结构尺寸清单,否,结构尺寸清单,一致,,,FM1201-20,,线下EXCEL,,,,U,FM1201-20,结构尺寸清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,构型项清单,否,构型项清单,一致,,,FM1201-21,,线下EXCEL,,,,U,FM1201-21,构型项清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,工程数据清单,否,工程数据清单,一致,,,FM1201-22,,线下EXCEL,,,,U,FM1201-22,工程数据清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,非金属材料选用目录,否,非金属材料选用目录,一致,,,FM1201-23,,线下EXCEL,,,,U,FM1201-23,非金属材料选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,工艺材料选用目录,否,工艺材料选用目录,一致,,,FM1201-24,,线下EXCEL,,,,U,FM1201-24,工艺材料选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,工艺规范选用目录,否,工艺规范选用目录,一致,,,FM1201-25,,线下EXCEL,,,,U,FM1201-25,工艺规范选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,金属材料选用目录,否,金属材料选用目录,一致,,,FM1201-26,,线下EXCEL,,,,U,FM1201-26,金属材料选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,标准件选用目录,否,标准件选用目录,一致,,,FM1201-27,,线下EXCEL,,,,U,FM1201-27,标准件选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,经验与教训记录表,否,经验与教训记录表,一致,,,FM1201-28,,线下EXCEL,,,,U,FM1201-28,经验与教训记录表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,详细定义数据集（MG4）,否,详细定义数据集（MG4）,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,详细定义数据集（MG4）,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,系统安装详细定义数据集（MG4）,否,系统安装详细定义数据集（MG4）,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,系统安装详细定义数据集（MG4）,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,详细定义数据集（MG5）和结构EBOM,否,详细定义数据集（MG45）和结构EBOM,不一致,,,,报告类无表单,纸质,,,,U,报告类无表单,详细定义数据集（MG45）和结构EBOM,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,结构详细定义设计报告,否,结构详细定义设计报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,结构详细定义设计报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,系统安装详细定义数据集（MG5）和系统安装EBOM,否,系统安装详细定义数据集（MG5）和系统安装EBOM,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,系统安装详细定义数据集（MG5）和系统安装EBOM,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,系统安装设计报告,否,系统安装设计报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,系统安装设计报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,2轮载荷下的有限元模型建模报告,否,2轮载荷下的有限元模型建模报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,2轮载荷下的有限元模型建模报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,2轮载荷下的有限元模型,否,2轮载荷下的有限元模型,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,2轮载荷下的有限元模型,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,2轮载荷下的强度分析报告强度分析报告,否,2轮载荷下的强度分析报告强度分析报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,2轮载荷下的强度分析报告强度分析报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,2轮载荷下的结构尺寸清单,否,2轮载荷下的结构尺寸清单,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,2轮载荷下的结构尺寸清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,材料规范、工艺规范及型材图册,否,材料规范、工艺规范及型材图册,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,材料规范、工艺规范及型材图册,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,标准件规范,否,标准件规范,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,标准件规范,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,工程关键特性目录,否,工程关键特性目录,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,工程关键特性目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,关键特性列表,是,关键特性列表,一致,,,FM1201-57,,线下EXCEL,,,,U,FM1201-57,关键特性列表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,界面控制图,否,界面控制图,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,界面控制图,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,四性分析报告,否,四性分析报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,四性分析报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,重量报告,否,重量报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,重量报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,质量分布特性报告,否,质量分布特性报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,质量分布特性报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,研发技术文件编制管理规定,否,研发技术文件编制管理规定,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,研发技术文件编制管理规定,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,标准化审查后的文件,否,标准化审查后的文件,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,标准化审查后的文件,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,发放的工程数据集,否,发放的工程数据集,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,发放的工程数据集,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,创建技术出版物报告,否,创建技术出版物报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,创建技术出版物报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,启动MSG-3维修工程分析,否,启动MSG-3维修工程分析,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,启动MSG-3维修工程分析,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,更新的需求清单,否,更新的需求清单,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,更新的需求清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,需求确认计划,否,需求确认计划,一致,,,报告类无表单,,纸质,,,,U,报告类无表单,需求确认计划,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,需求验证计划,否,需求验证计划,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,需求验证计划,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,初始需求确认矩阵,否,初始需求确认矩阵,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,初始需求确认矩阵,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,初始需求验证矩阵,否,初始需求验证矩阵,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,初始需求验证矩阵,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,最终需求确认矩阵,否,最终需求确认矩阵,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,最终需求确认矩阵,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,需求确认总结报告,否,需求确认总结报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,需求确认总结报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,最终需求验证矩阵,否,最终需求验证矩阵,一致,,,FM1201-18,,线下EXCEL,,,,U,FM1201-18,最终需求验证矩阵,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,需求验证总结报告,否,需求验证总结报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,需求验证总结报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,试验项列表,否,试验项列表,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,试验项列表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,试验件数据集,否,试验件数据集,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,试验件数据集,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,试验工装数据集,否,试验工装数据集,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,试验工装数据集,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,试验任务书,否,试验任务书,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,试验任务书,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,试验报告,否,试验报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,试验报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,审核通过的试验大纲,否,审核通过的试验大纲,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,审核通过的试验大纲,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,项目主阶段计划（III层）(DDP),否,项目主阶段计划（III层）(DDP),一致,,,,报告类无表单,纸质,,,,U,报告类无表单,项目主阶段计划（III层）(DDP),工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,DRD进度控制列表,否,DRD进度控制列表,一致,,,FM1201-08,,线下EXCEL,,,,U,FM1201-08,DRD进度控制列表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,风险管理团队名单,否,风险管理团队名单,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,风险管理团队名单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,风险应答单,否,风险应答单,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,风险应答单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,项目资源获取评估表,否,项目资源获取评估表,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,项目资源获取评估表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,成本基线,否,成本基线,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,成本基线,项目管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,项目预算,否,项目预算,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,项目预算,项目管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,"JDP出口评审检查单
JDP评审报告",否,"CDR出口评审检查单
CDR评审报告",不一致,,,,报告类无表单,纸质,,,,U,报告类无表单,"CDR出口评审检查单
CDR评审报告",项目管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,WBS成本数据,否,WBS成本数据,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,WBS成本数据,财务管理部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,质量审核报告,否,质量审核报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,质量审核报告,质量安全部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,产品检验规程,否,产品检验规程,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,产品检验规程,质量安全部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,工艺审查意见,否,工艺审查意见,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,工艺审查意见,科技创新部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,工艺总方案/制造总方案,否,工艺总方案/制造总方案,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,工艺总方案/制造总方案,科技创新部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,容差分析报告,否,容差分析报告,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,容差分析报告,科技创新部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,装配协调方案,否,装配协调方案,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,装配协调方案,科技创新部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,互替换计划,否,互替换计划,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,互替换计划,科技创新部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.7,详细定义阶段设计,,,12.1.7详细定义阶段设计,工艺鉴定准备计划,否,工艺鉴定准备计划,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,工艺鉴定准备计划,科技创新部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,构型项清单,否,构型项清单,一致,,,FM1201-21,,线下EXCEL,,,,U,FM1201-21,构型项清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,工程数据清单,否,工程数据清单,一致,,,FM1201-22,,线下EXCEL,,,,U,FM1201-22,工程数据清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,非金属材料选用目录,否,非金属材料选用目录,一致,,,FM1201-23,,线下EXCEL,,,,U,FM1201-23,非金属材料选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,工艺材料选用目录,否,工艺材料选用目录,一致,,,FM1201-24,,线下EXCEL,,,,U,FM1201-24,工艺材料选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,工艺规范选用目录,否,工艺规范选用目录,一致,,,FM1201-25,,线下EXCEL,,,,U,FM1201-25,工艺规范选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,金属材料选用目录,否,金属材料选用目录,一致,,,FM1201-26,,线下EXCEL,,,,U,FM1201-26,金属材料选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,标准件选用目录,否,标准件选用目录,一致,,,FM1201-27,,线下EXCEL,,,,U,FM1201-27,标准件选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,经验与教训记录表,否,经验与教训记录表,一致,,,FM1201-28,,线下EXCEL,,,,U,FM1201-28,经验与教训记录表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,标准件性能数据表,否,标准件性能数据表,一致,,,FM1201-30,,线下EXCEL,,,,U,FM1201-30,标准件性能数据表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,构型基线清单,否,构型基线清单,一致,,,FM1201-31,,线下EXCEL,,,,U,FM1201-31,构型基线清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,工程数据发放通知（EDRN）,否,工程数据发放通知（EDRN）,一致,,,FM1201-32,,线下EXCEL,,,,U,FM1201-32,工程数据发放通知（EDRN）,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,EBOM,否,EBOM,一致,,,FM1201-33,,线下EXCEL,,,,U,FM1201-33,EBOM,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,项目主阶段计划（III层）(产品定义发放及试制),否,项目主阶段计划（III层）(产品定义发放及试制),一致,,,,报告类无表单,纸质,,,,U,报告类无表单,项目主阶段计划（III层）(产品定义发放及试制),工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,DRD进度控制列表,否,DRD进度控制列表,一致,,,FM1201-08,,线下EXCEL,,,,U,FM1201-08,DRD进度控制列表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,风险管理团队名单,否,风险管理团队名单,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,风险管理团队名单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.8,产品定义发放和试制阶段设计,,,12.1.8产品定义发放和试制阶段设计,风险应答单,否,风险应答单,一致,,,,报告类无表单,纸质,,,,U,报告类无表单,风险应答单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
