业务域编号,业务域,流程组编号,流程组名称,流程编号,流程名称,子流程编号,子流程名称,信息流图名称,业务表名称,是否输出业务项,线上线下输出物名称,对比业务表名称,SAP模块代码,SAP口令代码,目前表号,新表号,权威数据源系统1,权威数据源系统2,是否已挂附件,系统名称,操作,数据分布表编号,数据分布表名称,表责任部门,问题或建议,核查结果,来源文件,来源部门
,集成研发,,,12.1.11,设计更改,,,12.1.11 设计更改,内部更改申请登记表,是,内部更改申请登记表,一致,,,FM1201-49,,线下EXCEL,,,,C,FM1201-49,内部更改申请登记表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.2,产品设计需求定义,,,12.1.2产品设计需求定义,合同技术协议客户要求,否,合同技术协议客户要求,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,合同技术协议客户要求,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.2,产品设计需求定义,,,12.1.2产品设计需求定义,产品设计数据集技术报告,否,产品设计数据集技术报告,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,产品设计数据集技术报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.2,产品设计需求定义,,,12.1.2产品设计需求定义,产品需求清单,是,产品需求清单,一致,,,FM1201-11,,线下EXCEL,,,,C,FM1201-11,产品需求清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.2,产品设计需求定义,,,12.1.2产品设计需求定义,专业需求清单,是,专业需求清单,一致,,,FM1201-10,,线下EXCEL,,,,C,FM1201-10,专业需求清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.3,产品设计需求确认,,,12.1.3产品设计需求确认,专业需求清单,否,专业需求清单,一致,,,FM1201-10,,线下EXCEL,,,,R,FM1201-10,专业需求清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.3,产品设计需求确认,,,12.1.3产品设计需求确认,需求确认计划,是,需求确认计划,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,需求确认计划,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.3,产品设计需求确认,,,12.1.3产品设计需求确认,初始需求确认矩阵,是,初始需求确认矩阵,一致,,,FM1201-13,,线下EXCEL,,,,C,FM1201-13,初始需求确认矩阵,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.3,产品设计需求确认,,,12.1.3产品设计需求确认,需求确认证据,是,需求确认证据,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,需求确认证据,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.3,产品设计需求确认,,,12.1.3产品设计需求确认,最终需求确认矩阵,是,最终需求确认矩阵,一致,,,FM1201-14,,线下EXCEL,,,,C,FM1201-14,最终需求确认矩阵,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.3,产品设计需求确认,,,12.1.3产品设计需求确认,需求确认总结报告,是,需求确认总结报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,需求确认总结报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.4,产品设计需求验证,,,12.1.4产品设计需求验证,专业需求清单,否,专业需求清单,一致,,,FM1201-10,,线下EXCEL,,,,R,FM1201-10,专业需求清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.4,产品设计需求验证,,,12.1.4产品设计需求验证,需求验证计划,是,需求验证计划,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,需求验证计划,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.4,产品设计需求验证,,,12.1.4产品设计需求验证,初始需求验证矩阵,是,初始需求验证矩阵,一致,,,FM1201-17,,线下EXCEL,,,,C,FM1201-17,初始需求验证矩阵,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.4,产品设计需求验证,,,12.1.4产品设计需求验证,需求验证证据,是,需求验证证据,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,需求验证证据,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.4,产品设计需求验证,,,12.1.4产品设计需求验证,最终需求验证矩阵,是,最终需求验证矩阵,一致,,,FM1201-18,,线下EXCEL,,,,C,FM1201-18,最终需求验证矩阵,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.4,产品设计需求验证,,,12.1.4产品设计需求验证,需求验证总结报告,是,需求验证总结报告,一致,,,,报告类无表单,纸质,,,,C,报告类无表单,需求验证总结报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,经验与教训记录表,是,经验与教训记录表,一致,,,FM1201-28,,线下EXCEL,,,,C,FM1201-28,经验与教训记录表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,构型项清单,是,构型项清单,一致,,,FM1201-21,,线下EXCEL,,,,C,FM1201-21,构型项清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,工程数据清单,是,工程数据清单,一致,,,FM1201-22,,线下EXCEL,,,,C,FM1201-22,工程数据清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,设计批准适航要求清单,是,设计批准适航要求清单,一致,,,FM1201-46,,线下EXCEL,,,,C,FM1201-46,设计批准适航要求清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,标准件选用目录,是,标准件选用目录,一致,,,FM1201-27,,线下EXCEL,,,,C,FM1201-27,标准件选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,金属材料选用目录,是,金属材料选用目录,一致,,,FM1201-26,,线下EXCEL,,,,C,FM1201-26,金属材料选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,非金属材料选用目录,是,非金属材料选用目录,一致,,,FM1201-23,,线下EXCEL,,,,C,FM1201-23,非金属材料选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,工艺材料选用目录,是,工艺材料选用目录,一致,,,FM1201-24,,线下EXCEL,,,,C,FM1201-24,工艺材料选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,工艺规范选用目录,是,工艺规范选用目录,一致,,,FM1201-25,,线下EXCEL,,,,C,FM1201-25,工艺规范选用目录,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,EBOM,是,EBOM,一致,,,FM1201-33,,线下EXCEL,,,,C,FM1201-33,EBOM,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,结构尺寸清单,是,结构尺寸清单,一致,,,FM1201-20,,线下EXCEL,,,,C,FM1201-20,结构尺寸清单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,项目主阶段计划（III层）(JCDP),否,项目主阶段计划（III层）(JCDP),一致,,,,报告类无表单,纸质,,,,R,报告类无表单,项目主阶段计划（III层）(JCDP),工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,评审报告,否,评审报告,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,评审报告,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,评审资料,否,评审资料,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,评审资料,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,DRD进度控制列表,否,DRD进度控制列表,一致,,,FM1201-08,,纸质,,,,R,FM1201-08,DRD进度控制列表,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
,集成研发,,,12.1.5,概念定义阶段设计,,,12.1.5概念定义阶段设计信息流图,风险管理团队名单,否,风险管理团队名单,一致,,,,报告类无表单,纸质,,,,R,报告类无表单,风险管理团队名单,工程研发事业部,,,集成研发/一图三表汇总清单 - 集成研发业务域20251030.xlsx,,
